Sub,Metal,Rep,measure1,measure2,measure3,measure4,averageGrowth,stdev
1,control,1,0.9,1.1,1,1,1,0.081649658
1,control,2,1,1.2,1,0.9,1.025,0.125830574
1,control,3,1,1.2,1.2,1.1,1.125,0.095742711
1,Zn,1,0.6,0.2,0.6,0.6,0.5,0.2
1,Zn,2,0.7,0.8,0.7,0.1,0.575,0.320156212
1,Zn,3,0.6,0.3,0.7,0.7,0.575,0.189296945
1,Cd,1,0.6,0.7,0.7,0.6,0.65,0.057735027
1,Cd,2,0.5,0.5,0.4,0.5,0.475,0.05
1,Cd,3,0.4,0.6,0.4,0.5,0.475,0.095742711
2,control,1,1.5,1.4,1.5,1.6,1.5,0.081649658
2,control,2,1.4,1.3,1.5,1.3,1.375,0.095742711
2,control,3,1.4,1.4,1.4,1.3,1.375,0.05
2,Zn,1,0.4,0.5,0.4,0.5,0.45,0.057735027
2,Zn,2,0.6,0.4,0.6,0.4,0.5,0.115470054
2,Zn,3,0.7,0.5,0.6,0.5,0.575,0.095742711
2,Cd,1,0.4,0.3,0.2,0.4,0.325,0.095742711
2,Cd,2,0.3,0.3,0.3,0.3,0.3,0
2,Cd,3,0.5,0.4,0.3,0.3,0.375,0.095742711
3,control,1,1.5,1.5,1.5,1.4,1.475,0.05
3,control,2,1.3,1.4,1.3,1.4,1.35,0.057735027
3,control,3,1.5,1.4,1.5,1.3,1.425,0.095742711
3,Zn,1,0.5,0.6,0.5,0.5,0.525,0.05
3,Zn,2,0.4,0.3,0.3,0.5,0.375,0.095742711
3,Zn,3,0.5,0.5,0.5,0.6,0.525,0.05
3,Cd,1,0.4,0.5,0.2,0.4,0.375,0.125830574
3,Cd,2,0.3,0.4,0.3,0.3,0.325,0.05
3,Cd,3,0.5,0.4,0.4,0.3,0.4,0.081649658
4,control,1,1.5,1.5,1.5,1.4,1.475,0.05
4,control,2,1.2,1.2,1.3,1.3,1.25,0.057735027
4,control,3,1.3,1.2,1.3,1.3,1.275,0.05
4,Zn,1,0.4,0.3,0.2,0.2,0.275,0.095742711
4,Zn,2,0.4,0.3,0.2,0.4,0.325,0.095742711
4,Zn,3,0.2,0.2,0.1,0.2,0.175,0.05
4,Cd,1,0.5,0.5,0.3,0.3,0.4,0.115470054
4,Cd,2,0.5,0.5,0.4,0.4,0.45,0.057735027
4,Cd,3,0.4,0.4,0.3,0.3,0.35,0.057735027
5,control,1,1.5,1.5,1.5,1.3,1.45,0.1
5,control,2,1.4,1.5,1.4,1.5,1.45,0.057735027
5,control,3,1.4,1.4,1.2,1.2,1.3,0.115470054
5,Zn,1,0.3,0.2,0.2,0.3,0.25,0.057735027
5,Zn,2,0.4,0.5,0.4,0.3,0.4,0.081649658
5,Zn,3,0.5,0.2,0.6,0.7,0.5,0.21602469
5,Cd,1,0.4,0.3,0.4,0.5,0.4,0.081649658
5,Cd,2,0.4,0.3,0.3,0.3,0.325,0.05
5,Cd,3,0.5,0.4,0.3,0.4,0.4,0.081649658
6,control,1,1.4,1.5,1.6,1.4,1.475,0.095742711
6,control,2,1.6,1.6,1.5,1.2,1.475,0.189296945
6,control,3,1.4,1.4,1.2,1.5,1.375,0.125830574
6,Zn,1,0.5,0.4,0.3,0.4,0.4,0.081649658
6,Zn,2,0.6,0.6,0.6,0.5,0.575,0.05
6,Zn,3,0.5,0.6,0.7,0.3,0.525,0.170782513
6,Cd,1,0.3,0.3,0.3,0.4,0.325,0.05
6,Cd,2,0.4,0.4,0.3,0.4,0.375,0.05
6,Cd,3,0.4,0.3,0.3,0.4,0.35,0.057735027
7,control,1,1.4,1.2,1.3,1.4,1.325,0.095742711
7,control,2,1.5,1.3,1.5,1.7,1.5,0.163299316
7,control,3,1.3,1.3,1.4,1.3,1.325,0.05
7,Zn,1,0.3,0.5,0.6,0.3,0.425,0.15
7,Zn,2,0.5,0.5,0.3,0.4,0.425,0.095742711
7,Zn,3,0.5,0.5,0.5,0.4,0.475,0.05
7,Cd,1,0.4,0.3,0.3,0.3,0.325,0.05
7,Cd,2,0.5,0.5,0.4,0.5,0.475,0.05
7,Cd,3,0.5,0.4,0.5,0.5,0.475,0.05
8,control,1,1.2,1.3,1.3,1.3,1.275,0.05
8,control,2,1.5,1.4,1.4,1.4,1.425,0.05
8,control,3,1.3,1.1,1.2,1.5,1.275,0.170782513
8,Zn,1,0.4,0.3,0.2,0.3,0.3,0.081649658
8,Zn,2,0.3,0.4,0.3,0.3,0.325,0.05
8,Zn,3,0.2,0.1,0.2,0.3,0.2,0.081649658
8,Cd,1,0.4,0.4,0.3,0.4,0.375,0.05
8,Cd,2,0.4,0.3,0.3,0.3,0.325,0.05
8,Cd,3,0.4,0.3,0.4,0.3,0.35,0.057735027
9,control,1,1.3,1.4,1.5,1.5,1.425,0.095742711
9,control,2,1.4,1.4,1.3,1.2,1.325,0.095742711
9,control,3,1.4,1.5,1.4,1.5,1.45,0.057735027
9,Zn,1,0.2,0.2,0.3,0.4,0.275,0.095742711
9,Zn,2,0.5,0.5,0.5,0.3,0.45,0.1
9,Zn,3,0.2,0.2,0.3,0.3,0.25,0.057735027
9,Cd,1,0.4,0.4,0.5,0.5,0.45,0.057735027
9,Cd,2,0.5,0.6,0.5,0.5,0.525,0.05
9,Cd,3,0.5,0.4,0.4,0.4,0.425,0.05
10,control,1,1.5,1.4,1.5,1.5,1.475,0.05
10,control,2,1.6,1.6,1.6,1.6,1.6,0
10,control,3,1.5,1.4,1.4,1.4,1.425,0.05
10,Zn,1,0.2,0.2,0.2,0.2,0.2,0
10,Zn,2,0.5,0.5,0.2,0.5,0.425,0.15
10,Zn,3,0.6,0.6,0.6,0.6,0.6,0
10,Cd,1,0.5,0.2,0.2,0.2,0.275,0.15
10,Cd,2,0.3,0.3,0.3,0.4,0.325,0.05
10,Cd,3,0.3,0.3,0.4,0.3,0.325,0.05