Isolate,Metal,Rep,measure1,measure2,measure3,measure4,averageGrowth,stdev
control,control,1,1.5,1.4,1.5,1.5,1.475,0.05
control,control,2,1.6,1.6,1.6,1.6,1.6,0
control,control,3,1.5,1.4,1.4,1.4,1.425,0.05
control,Zn,1,1.7,1.5,1.4,1.4,1.5,0.141421356
control,Zn,2,0.8,0.8,0.8,0.8,0.8,0
control,Zn,3,1,1.1,1,0.8,0.975,0.125830574
control,Cd,1,0.5,0.4,0.4,0.4,0.425,0.05
control,Cd,2,0.5,0.5,0.5,0.5,0.5,0
control,Cd,3,0.6,0.6,0.5,0.5,0.55,0.057735027
zinc,control,1,1.4,1.5,1.3,1.2,1.35,0.129099445
zinc,control,2,1.6,1.4,1.5,1.5,1.5,0.081649658
zinc,control,3,1.6,1.5,1.3,1.5,1.475,0.125830574
zinc,Zn,1,0.2,0.2,0.2,0.2,0.2,0
zinc,Zn,2,0.5,0.5,0.2,0.5,0.425,0.15
zinc,Zn,3,0.6,0.6,0.6,0.6,0.6,0
zinc,Cd,1,0.9,0.7,0.9,0.7,0.8,0.115470054
zinc,Cd,2,0.9,0.8,0.7,0.7,0.775,0.095742711
zinc,Cd,3,0.8,0.9,0.9,0.9,0.875,0.05
cadmium,control,1,1.1,1,1,1,1.025,0.05
cadmium,control,2,1.2,1.2,1.2,1.3,1.225,0.05
cadmium,control,3,1.2,1.4,1.3,1.2,1.275,0.095742711
cadmium,Zn,1,0.3,0.2,0.2,0.2,0.225,0.05
cadmium,Zn,2,1.1,0.8,0.5,0.7,0.775,0.25
cadmium,Zn,3,0.3,0.2,0.3,0.2,0.25,0.057735027
cadmium,Cd,1,0.5,0.2,0.2,0.2,0.275,0.15
cadmium,Cd,2,0.3,0.3,0.3,0.4,0.325,0.05
cadmium,Cd,3,0.3,0.3,0.4,0.3,0.325,0.05
week1,control,1,0.9,1.1,1,1,1,0.081649658
week1,control,2,1,1.2,1,0.9,1.025,0.125830574
week1,control,3,1,1.2,1.2,1.1,1.125,0.095742711
week1,Zn,1,0.6,0.2,0.6,0.6,0.5,0.2
week1,Zn,2,0.7,0.8,0.7,0.1,0.575,0.320156212
week1,Zn,3,0.6,0.3,0.7,0.7,0.575,0.189296945
week1,Cd,1,0.6,0.7,0.7,0.6,0.65,0.057735027
week1,Cd,2,0.5,0.5,0.4,0.5,0.475,0.05
week1,Cd,3,0.4,0.6,0.4,0.5,0.475,0.095742711